Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
8/31/2017,70226,28787,NC,Asheville,Buncombe,Weaverville,4144,270200,0.00148258,0.011985019,0.087323944,0.060851647,0.012770024,2017-08,2017-Q3,270200,0,2017-08
8/31/2017,71656,31763,GA,Albany,Lee,Leesburg,4145,140800,-0.00141844,0.002849003,0.003563792,0.011159545,-0.006837916,2008-04,2008-Q2,157800,-0.107731305,2006-01
8/31/2017,98545,96007,CA,Redding,Shasta,Anderson,4146,205500,0.008341511,0.02442672,0.07310705,0.09406173,-0.01076919,2006-04,2006-Q2,244200,-0.158476658,2005-03
8/31/2017,76529,43113,OH,Columbus,Pickaway,Circleville,4147,146800,0.00754976,0.022996516,0.040396882,0.045177179,0.012072227,2017-08,2017-Q3,146800,0,2017-08
8/31/2017,84342,60087,IL,Chicago,Lake,Waukegan,4148,129000,0.001552795,0.014150943,0.057377049,0.073940924,-0.024549085,2006-08,2006-Q3,175100,-0.263278127,2000-11
8/31/2017,81249,53150,WI,Milwaukee,Waukesha,Muskego,4149,278900,0.006132756,0.022735607,0.059248006,0.040577564,0.006693915,2017-08,2017-Q3,278900,0,2017-08
8/31/2017,96948,92614,CA,Los Angeles-Long Beach-Anaheim,Orange,Irvine,4150,666100,0.005433962,0.004069943,0.006801693,0.084309035,0.006212187,2017-02,2017-Q1,666200,-0.000150105,2017-02
8/31/2017,71840,32177,FL,Palatka,Putnam,Palatka,4151,83400,0.015834348,0.04642409,0.103174603,0.023928352,-0.035649996,2006-12,2006-Q4,121300,-0.312448475,2004-09
8/31/2017,99758,98372,WA,Seattle,Pierce,Puyallup,4152,352100,0.005712654,0.022060958,0.122767857,0.094085481,0.00788621,2017-08,2017-Q3,352100,0,2017-08
8/31/2017,58581,2026,MA,Boston,Norfolk,Dedham,4153,449400,0.005369128,0.017663043,0.057909605,0.062107031,0.022741694,2017-08,2017-Q3,449400,0,2017-08
8/31/2017,81480,53916,WI,Beaver Dam,Dodge,Beaver Dam,4154,128200,0.006279435,0.012638231,0.053410025,0.034695276,0.001256692,2007-03,2007-Q1,131400,-0.02435312,2006-08
8/31/2017,94222,83607,ID,Boise City,Canyon,Caldwell,4155,173500,0.005797101,0.022392457,0.119354839,0.111002721,-0.003060247,2007-07,2007-Q3,179100,-0.031267448,2007-02
